RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-11-20;U1BE34;BRU1BEBDR009;U1BE;83008;54,6991293;1;4540465,33
2020-11-20;UCAS3;BRUCASACNOR1;UCAS;59910;4,3014872;1;257702,1
2020-11-20;UGPA3;BRUGPAACNOR8;UGPA;20985065;19,1935546;1;402777991,21
2020-11-20;ULEV34;BRULEVBDR002;ULEV;2;340,26;1;680,52
2020-11-20;UNIP3;BRUNIPACNOR7;UNIP;810;36,0718518;1;29218,2
2020-11-20;UNIP6;BRUNIPACNPB8;UNIP;822423;32,1569738;1;26446634,93
2020-11-20;USIM3;BRUSIMACNOR3;USIM;39099;11,582012;1;452845,09
2020-11-20;USIM5;BRUSIMACNPA6;USIM;37639797;11,1819702;1;420887091
2020-11-20;VALE3;BRVALEACNOR0;VALE;64142257;62,4310201;1;4004466541,53
2020-11-20;VERZ34;BRVERZBDR008;VERZ;8;55,15;1;441,2
2020-11-20;VISA34;BRVISABDR000;VISA;1;1076,67;1;1076,67
2020-11-20;VIVA3;BRVIVAACNOR0;VIVA;2294397;24,4865837;1;56181944,19
2020-11-20;VIVR3;BRVIVRACNOR4;VIVR;804637;1,2486597;1;1004717,86
2020-11-20;VIVT3;BRVIVTACNOR0;VIVT;188819;45,5539982;1;8601460,4
2020-11-20;VIVT4;BRVIVTACNPR7;VIVT;12296897;44,4221295;1;546254351,74
2020-11-20;VLID3;BRVLIDACNOR5;VLID;3228537;8,7271918;1;28176061,9
2020-11-20;VULC3;BRVULCACNOR2;VULC;3968400;6,9194627;1;27459195,84
2020-11-20;VVAR3;BRVVARACNOR1;VVAR;57803314;17,9953737;1;1040192236,86
2020-11-20;WALM34;BRWALMBDR005;WALM;2000;50,78;1;101560
2020-11-20;WEGE3;BRWEGEACNOR0;WEGE;16232854;79,3409251;1;1287929653,38
2020-11-20;WFCO34;BRWFCOBDR009;WFCO;771;31,11;1;23985,81
2020-11-20;WHRL3;BRWHRLACNOR5;WHRL;400;6,95;1;2780
2020-11-20;WHRL4;BRWHRLACNPR2;WHRL;11501;7,2023293;1;82833,99
2020-11-20;WIZS3;BRWIZSACNOR1;WIZS;2745045;9,5124237;1;26112031,25
2020-11-20;WSON33;BRWSONBDR009;WSON;32169;40,0208812;1;1287431,73
2020-11-20;XBOV11;BRXBOVCTF005;XBOV;160073;93,7827471;1;15012085,68
2020-11-20;YDUQ3;BRYDUQACNOR3;YDUQ;13481929;26,8370734;1;361815518,39
